Entry	Entry Name	Protein names	Gene Ontology (GO)	Function [CC]	EC number	Annotation	Protein families	Pfam
A0A1V4V7K9	A0A1V4V7K9_9EURY	Methyl-coenzyme M reductase II operon protein D	methanogenesis [GO:0015948]			1.0		PF02505;
F4BXM5	F4BXM5_METSG	Uncharacterized protein				1.0		PF18065;PF18047;
R9H3X4	R9H3X4_9SPHI	Putative outer membrane protein	cell outer membrane [GO:0009279]			1.0	TonB-dependent receptor family	PF13715;PF07715;PF00593;
A0LGH9	A0LGH9_SYNFM	Extracellular ligand-binding receptor				1.0	Leucine-binding protein family	PF13458;
A8F5J2	A8F5J2_PSELT	Extracellular solute-binding protein family 3	cell envelope [GO:0030313]; membrane [GO:0016020]; ligand-gated monoatomic ion channel activity [GO:0015276]			1.0	Bacterial solute-binding protein 3 family	PF00497;
K1YAM0	K1YAM0_9BACT	Solute-binding protein family 3/N-terminal domain-containing protein	amino acid transport [GO:0006865]			1.0	Bacterial solute-binding protein 3 family	PF00497;
A0A7K4AJW7	A0A7K4AJW7_METSH	3-methyl-2-oxobutanoate dehydrogenase subunit VorB	oxidoreductase activity [GO:0016491]; organic acid metabolic process [GO:0006082]; sulfur compound biosynthetic process [GO:0044272]			1.0		PF17147;PF01855;
C6E4Q9	C6E4Q9_GEOSM	Elongation factor Tu (EF-Tu)	cytosol [GO:0005829]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]	FUNCTION: This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis. {ECO:0000256|HAMAP-Rule:MF_00118}.		2.0	TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, EF-Tu/EF-1A subfamily	PF00009;PF03144;PF03143;
H8I8V8	H8I8V8_METCZ	PKD repeat-containing protein	membrane [GO:0016020]			1.0		PF07705;PF11824;PF18911;
A5G9I2	CH60_GEOUR	Chaperonin GroEL (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin-60) (Cpn60)	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; isomerase activity [GO:0016853]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]	FUNCTION: Together with its co-chaperonin GroES, plays an essential role in assisting protein folding. The GroEL-GroES system forms a nano-cage that allows encapsulation of the non-native substrate proteins and provides a physical environment optimized to promote and accelerate protein folding. {ECO:0000255|HAMAP-Rule:MF_00600}.	5.6.1.7	3.0	Chaperonin (HSP60) family	PF00118;
L0F5D2	L0F5D2_DESDL	Benzoyl-CoA reductase/2-hydroxyglutaryl-CoA dehydratase subunit, BcrC/BadD/HgdB (EC 1.3.7.8)	benzoyl-CoA reductase activity [GO:0018522]; hydro-lyase activity [GO:0016836]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]		1.3.7.8	1.0	FldB/FldC dehydratase alpha/beta subunit family	PF06050;
A0A4Z1DXY9	A0A4Z1DXY9_9STRE	ABC transporter ATP-binding protein	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; L-isoleucine transmembrane transporter activity [GO:0015188]; L-phenylalanine transmembrane transporter activity [GO:0015192]; L-valine transmembrane transporter activity [GO:0005304]; D-alanine transmembrane transport [GO:0042941]; L-alanine transport [GO:0015808]; L-isoleucine import across plasma membrane [GO:1903806]; L-valine import across plasma membrane [GO:1903805]			2.0		PF00005;PF12399;
D0QZ27	D0QZ27_9ACTN	nitrogenase (EC 1.18.6.1)	4 iron, 4 sulfur cluster binding [GO:0051539]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]	FUNCTION: The key enzymatic reactions in nitrogen fixation are catalyzed by the nitrogenase complex, which has 2 components: the iron protein and the molybdenum-iron protein. {ECO:0000256|ARBA:ARBA00002234}.	1.18.6.1	2.0	NifH/BchL/ChlL family	PF00142;
V4L3T2	V4L3T2_9BACT	TRAP transporter substrate-binding protein DctP	iron-sulfur cluster binding [GO:0051536]; transmembrane transport [GO:0055085]			1.0		PF03480;
K1Y0P8	K1Y0P8_9BACT	Acyl-CoA dehydrogenase	acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]			1.0	Acyl-CoA dehydrogenase family	PF00441;PF02770;PF02771;
I7K7D0	I7K7D0_9CLOT	Uncharacterized protein				1.0		PF12635;
F4BY91	F4BY91_METSG	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)	cytoplasm [GO:0005737]; 4-hydroxy-tetrahydrodipicolinate reductase [GO:0008839]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor [GO:0016726]; diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process via diaminopimelate [GO:0009089]	FUNCTION: Catalyzes the conversion of 4-hydroxy-tetrahydrodipicolinate (HTPA) to tetrahydrodipicolinate. {ECO:0000256|HAMAP-Rule:MF_00102}.	1.17.1.8	3.0	DapB family	PF05173;PF01113;
E8N4J3	E8N4J3_ANATU	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.-)	NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]; glucose metabolic process [GO:0006006]		1.2.1.-	2.0	Glyceraldehyde-3-phosphate dehydrogenase family	PF02800;PF00044;
F2LVE7	F2LVE7_HIPMA	NHL repeat containing protein				1.0		
E1JRX1	E1JRX1_SOLFR	OmpA/MotB domain protein	cell outer membrane [GO:0009279]			1.0		PF00691;
D7GN92	D7GN92_9ZZZZ	Serine protease	serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]			1.0	Peptidase S1B family	PF00089;
X0W391	X0W391_9ZZZZ	Thioredoxin domain-containing protein	cytoplasm [GO:0005737]; protein-disulfide reductase activity [GO:0015035]			1.0		PF08480;PF00085;
A0A1V4UW26	A0A1V4UW26_9EURY	Polymer-forming cytoskeletal	membrane [GO:0016020]			1.0		
A9KKM8	A9KKM8_LACP7	Extracellular solute-binding protein family 5	peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]			1.0		PF00496;
R4R8A7	R4R8A7_9BACT	Putative nitrite reductase				1.0		PF02239;
K1TSN6	K1TSN6_9ZZZZ	Outer membrane protein, probably involved in nutrient binding protein	cell outer membrane [GO:0009279]			1.0		PF00593;
G7V7E8	G7V7E8_THELD	Extracellular solute-binding protein, family 7	outer membrane-bounded periplasmic space [GO:0030288]; carbohydrate binding [GO:0030246]; transmembrane transport [GO:0055085]			1.0		PF03480;
G8QSV1	G8QSV1_SPHPG	ABC-type sugar transport system, periplasmic component				1.0		PF01547;
H5SPT3	H5SPT3_9BACT	Aminopeptidase	aminopeptidase activity [GO:0004177]; serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]			1.0		PF00326;
A0A1V4VE93	A0A1V4VE93_9EURY	Elongation factor 2 (EF-2)	cytosol [GO:0005829]; ribonucleoprotein complex [GO:1990904]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]	FUNCTION: Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post-translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome. {ECO:0000256|ARBA:ARBA00024731, ECO:0000256|HAMAP-Rule:MF_00054}.		2.0	TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, EF-G/EF-2 subfamily	PF00679;PF14492;PF03764;PF00009;PF03144;
G7WR46	G7WR46_METH6	AAA family ATPase, CDC48 subfamily	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]			1.0	AAA ATPase family	PF00004;PF17862;
A0A1V4VDP5	A0A1V4VDP5_9EURY	N-acetyl-gamma-glutamyl-phosphate reductase (AGPR) (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase) (NAGSA dehydrogenase)	cytoplasm [GO:0005737]; N-acetyl-gamma-glutamyl-phosphate reductase activity [GO:0003942]; NAD binding [GO:0051287]; NADP+ binding [GO:0070401]; L-arginine biosynthetic process [GO:0006526]	FUNCTION: Catalyzes the NADPH-dependent reduction of N-acetyl-5-glutamyl phosphate to yield N-acetyl-L-glutamate 5-semialdehyde. {ECO:0000256|HAMAP-Rule:MF_00150}.	1.2.1.38	3.0	NAGSA dehydrogenase family, Type 1 subfamily	PF01118;PF22698;
F6D738	F6D738_METPW	SbsA Ig-like domain-containing protein				1.0		PF13205;
Q71EW6	Q71EW6_SYNAC	Transporter				1.0		PF13557;
E8WHS2	E8WHS2_GEOS8	Type VI secretion system effector, Hcp1 family				1.0		PF05638;
A0A2I1JWW2	A0A2I1JWW2_9LACT	Beta-aspartyl-peptidase	oxidoreductase activity, acting on X-H and Y-H to form an X-Y bond, with a disulfide as acceptor [GO:0050485]			1.0		PF09338;
B5YL88	B5YL88_THEYD	TonB-dependent receptor-related protein	cell outer membrane [GO:0009279]; siderophore uptake transmembrane transporter activity [GO:0015344]; siderophore transmembrane transport [GO:0044718]			1.0	TonB-dependent receptor family	PF07715;PF00593;
A0A7V4DX43	A0A7V4DX43_DICTH	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.-)	NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]; glucose metabolic process [GO:0006006]		1.2.1.-	2.0	Glyceraldehyde-3-phosphate dehydrogenase family	PF02800;PF00044;
F4BTH3	F4BTH3_METSG	Bifunctional NAD(P)H-hydrate repair enzyme (Nicotinamide nucleotide repair protein) [Includes: ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136) (ADP-dependent NAD(P)HX dehydratase); NAD(P)H-hydrate epimerase (EC 5.1.99.6)]	ADP-dependent NAD(P)H-hydrate dehydratase activity [GO:0052855]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; NAD(P)HX epimerase activity [GO:0052856]; metabolite repair [GO:0110051]; nicotinamide nucleotide metabolic process [GO:0046496]	FUNCTION: Bifunctional enzyme that catalyzes the epimerization of the S- and R-forms of NAD(P)HX and the dehydration of the S-form of NAD(P)HX at the expense of ADP, which is converted to AMP. This allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration. {ECO:0000256|ARBA:ARBA00025153, ECO:0000256|PIRNR:PIRNR017184}.; FUNCTION: Catalyzes the dehydration of the S-form of NAD(P)HX at the expense of ADP, which is converted to AMP. Together with NAD(P)HX epimerase, which catalyzes the epimerization of the S- and R-forms, the enzyme allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration. {ECO:0000256|HAMAP-Rule:MF_01965}.; FUNCTION: Catalyzes the epimerization of the S- and R-forms of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration. This is a prerequisite for the S-specific NAD(P)H-hydrate dehydratase to allow the repair of both epimers of NAD(P)HX. {ECO:0000256|HAMAP-Rule:MF_01966}.	4.2.1.136; 5.1.99.6	4.0	NnrD/CARKD family; NnrE/AIBP family; NnrD/CARKD family; NnrE/AIBP family	PF01256;PF03853;
F4C0U6	F4C0U6_METSG	Carboxymuconolactone decarboxylase family protein	peroxiredoxin activity [GO:0051920]			1.0		PF02627;
H8IAP7	H8IAP7_METCZ	ABC-type dipeptide transport system, periplasmic component	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]			1.0	Bacterial solute-binding protein 5 family	PF00496;
F4BZQ3	F4BZQ3_METSG	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	cytosol [GO:0005829]; 2 iron, 2 sulfur cluster binding [GO:0051537]; dihydroxy-acid dehydratase activity [GO:0004160]; magnesium ion binding [GO:0000287]; isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]	FUNCTION: Functions in the biosynthesis of branched-chain amino acids. Catalyzes the dehydration of (2R,3R)-2,3-dihydroxy-3-methylpentanoate (2,3-dihydroxy-3-methylvalerate) into 2-oxo-3-methylpentanoate (2-oxo-3-methylvalerate) and of (2R)-2,3-dihydroxy-3-methylbutanoate (2,3-dihydroxyisovalerate) into 2-oxo-3-methylbutanoate (2-oxoisovalerate), the penultimate precursor to L-isoleucine and L-valine, respectively. {ECO:0000256|HAMAP-Rule:MF_00012}.	4.2.1.9	3.0	IlvD/Edd family	PF00920;
A4J5R0	A4J5R0_DESRM	Glutaconate CoA-transferase (EC 2.8.3.12)	glutaconate CoA-transferase activity [GO:0018730]		2.8.3.12	1.0	3-oxoacid CoA-transferase subunit B family	PF01144;
K2REI5	K2REI5_METFP	Coenzyme F420 hydrogenase subunit gamma	coenzyme F420 hydrogenase activity [GO:0050454]; flavin adenine dinucleotide binding [GO:0050660]; iron-sulfur cluster binding [GO:0051536]; nickel cation binding [GO:0016151]			1.0	FrhG family	PF13237;PF01058;
U6EEC5	U6EEC5_9EURY	Methyl-coenzyme M reductase subunit beta (EC 2.8.4.1) (Coenzyme-B sulfoethylthiotransferase beta)	coenzyme-B sulfoethylthiotransferase activity [GO:0050524]; methanogenesis [GO:0015948]		2.8.4.1	2.0	Methyl-coenzyme M reductase beta subunit family	PF02241;PF02783;
A7I5N7	MTD_METB6	F420-dependent methylenetetrahydromethanopterin dehydrogenase (MTD) (EC 1.5.98.1) (Coenzyme F420-dependent N5,N10-methylenetetrahydromethanopterin dehydrogenase)	ferredoxin hydrogenase activity [GO:0008901]; methylenetetrahydromethanopterin dehydrogenase activity [GO:0030268]; methanogenesis, from carbon dioxide [GO:0019386]; one-carbon metabolic process [GO:0006730]	FUNCTION: Catalyzes the reversible reduction of methenyl-H(4)MPT(+) to methylene-H(4)MPT. {ECO:0000255|HAMAP-Rule:MF_00058}.	1.5.98.1	2.0	MTD family	PF01993;
F4BZ97	F4BZ97_METSG	Peptidase S1 domain-containing protein	serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]			1.0		PF00089;
A7GZ48	A7GZ48_CAMC5	Uncharacterized protein				1.0		
I3NUN5	I3NUN5_PLOBU	Ribosomal protein S3	mitochondrion [GO:0005739]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]			2.0	Universal ribosomal protein uS3 family	PF00189;
D5EDF2	D5EDF2_AMICL	TRAP transporter solute receptor, TAXI family				1.0		PF16868;
F4BX42	F4BX42_METSG	Hydroxylamine reductase (EC 1.7.99.1) (Hybrid-cluster protein) (HCP) (Prismane protein)	cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; hydroxylamine reductase activity [GO:0050418]; metal ion binding [GO:0046872]; peroxidase activity [GO:0004601]; response to hydrogen peroxide [GO:0042542]	FUNCTION: Catalyzes the reduction of hydroxylamine to form NH(3) and H(2)O. {ECO:0000256|HAMAP-Rule:MF_00069}.	1.7.99.1	3.0	HCP family	PF03063;
X1VA59	X1VA59_9ZZZZ	Purple acid phosphatase N-terminal domain-containing protein				1.0		
O03386	O03386_VICFA	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2)	membrane [GO:0016020]; mitochondrion [GO:0005739]; plastid [GO:0009536]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; NADH dehydrogenase activity [GO:0003954]; ATP synthesis coupled electron transport [GO:0042773]; electron transport coupled proton transport [GO:0015990]	FUNCTION: Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) which catalyzes electron transfer from NADH through the respiratory chain, using ubiquinone as an electron acceptor. Essential for the catalytic activity and assembly of complex I. {ECO:0000256|RuleBase:RU003404}.	7.1.1.2	3.0	Complex I subunit 5 family	PF00361;PF00662;
M1Q1L6	M1Q1L6_9ZZZZ	ABC transporter periplasmic-binding protein	peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]			1.0		PF00496;
F4BUI5	F4BUI5_METSG	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	cell surface [GO:0009986]; extracellular region [GO:0005576]; phosphopyruvate hydratase complex [GO:0000015]; magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]; glycolytic process [GO:0006096]	FUNCTION: Catalyzes the reversible conversion of 2-phosphoglycerate (2-PG) into phosphoenolpyruvate (PEP). It is essential for the degradation of carbohydrates via glycolysis. {ECO:0000256|HAMAP-Rule:MF_00318}.	4.2.1.11	3.0	Enolase family	PF00113;PF03952;
I0Z730	I0Z730_COCSC	Ketoacyl-synt-domain-containing protein	(3R)-hydroxyacyl-[acyl-carrier-protein] dehydratase activity [GO:0019171]; [acyl-carrier-protein] S-acetyltransferase activity [GO:0004313]; [acyl-carrier-protein] S-malonyltransferase activity [GO:0004314]; fatty acid synthase activity [GO:0004312]; oxidoreductase activity [GO:0016491]; phosphopantetheine binding [GO:0031177]; fatty acid biosynthetic process [GO:0006633]; phenol-containing compound biosynthetic process [GO:0046189]; secondary metabolite biosynthetic process [GO:0044550]			2.0		PF08240;PF13602;PF00109;PF02801;PF08659;PF08242;PF21089;PF00550;PF14765;PF00975;
A0A843JXQ4	A0A843JXQ4_9EURY	5,10-methylenetetrahydromethanopterin reductase (EC 1.5.98.2) (Coenzyme F420-dependent N(5),N(10)-methylenetetrahydromethanopterin reductase) (Methylene-H(4)MPT reductase)	cytoplasm [GO:0005737]; coenzyme F420-dependent N5,N10-methenyltetrahydromethanopterin reductase activity [GO:0018537]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; methanogenesis, from carbon dioxide [GO:0019386]; one-carbon metabolic process [GO:0006730]	FUNCTION: Catalyzes the reversible reduction of methylene-H(4)MPT to methyl-H(4)MPT. {ECO:0000256|HAMAP-Rule:MF_01091}.	1.5.98.2	2.0	Mer family	PF00296;
B0VG09	B0VG09_CLOAI	FlgD Ig-like domain-containing protein				1.0		PF12245;PF13860;
R5IUB2	R5IUB2_9FIRM	D-galactose/methyl-galactoside binding periplasmic protein MglB	outer membrane-bounded periplasmic space [GO:0030288]; carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]			2.0	Bacterial solute-binding protein 2 family	PF13407;
K2R153	K2R153_METFP	TATA-box-binding protein (Box A-binding protein) (BAP) (TATA sequence-binding protein) (TBP) (TATA-box factor)	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-templated transcription initiation [GO:0006352]	FUNCTION: General factor that plays a role in the activation of archaeal genes transcribed by RNA polymerase. Binds specifically to the TATA box promoter element which lies close to the position of transcription initiation. {ECO:0000256|ARBA:ARBA00025680, ECO:0000256|HAMAP-Rule:MF_00408, ECO:0000256|RuleBase:RU000523}.		2.0	TBP family	PF00352;
A3QI07	A3QI07_SHELP	Na-Ca exchanger/integrin-beta4	membrane [GO:0016020]; integrin-mediated signaling pathway [GO:0007229]; metal ion transport [GO:0030001]			1.0		PF03160;PF13620;
A0A1V4V9X1	A0A1V4V9X1_9EURY	Acetyl-CoA acetyltransferase	acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]; isoprenoid biosynthetic process [GO:0008299]			1.0		PF22691;PF00108;
W0RQC1	W0RQC1_9BACT	TonB-dependent receptor	cell outer membrane [GO:0009279]; carbohydrate binding [GO:0030246]; siderophore uptake transmembrane transporter activity [GO:0015344]			1.0		PF13620;
X0VC43	X0VC43_9ZZZZ	PEGA domain-containing protein	carbohydrate binding [GO:0030246]			1.0		PF13620;
D7I950	D7I950_9BACE	Cell surface protein				1.0		
D9ZJG6	D9ZJG6_MALDO	YABBY domain class transcription factor	nucleus [GO:0005634]; cell fate commitment [GO:0045165]			1.0	YABBY family	PF04690;
Q1IRJ7	Q1IRJ7_KORVE	TonB-dependent receptor	cell outer membrane [GO:0009279]; siderophore uptake transmembrane transporter activity [GO:0015344]			1.0		PF13620;
X1KFP0	X1KFP0_9ZZZZ	CBM11 domain-containing protein				1.0		
X0W649	X0W649_9ZZZZ	Beta-xylosidase C-terminal Concanavalin A-like domain-containing protein				1.0		
D0LUK3	D0LUK3_HALO1	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.12)	cytoplasm [GO:0005737]; manganese ion binding [GO:0030145]; phosphoglycerate mutase activity [GO:0004619]; glucose catabolic process [GO:0006007]; glycolytic process [GO:0006096]		5.4.2.12	2.0	BPG-independent phosphoglycerate mutase family	PF06415;PF01676;
N8QX94	N8QX94_9GAMM	Integrase catalytic domain-containing protein	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]			1.0		PF13276;PF00665;PF13333;
I2PXU6	I2PXU6_9BACT	Alcohol dehydrogenase, class IV	alcohol dehydrogenase (NAD+) activity [GO:0004022]; metal ion binding [GO:0046872]			1.0	Iron-containing alcohol dehydrogenase family	PF00465;
Q029C2	Q029C2_SOLUE	TonB-dependent receptor, plug	cell outer membrane [GO:0009279]; carbohydrate binding [GO:0030246]; siderophore uptake transmembrane transporter activity [GO:0015344]			1.0		PF13620;PF07715;
A4XIP4	A4XIP4_CALS8	YD repeat protein				1.0		PF20148;PF05593;
I0AK42	I0AK42_IGNAJ	phospholipase D (EC 3.1.4.4)	RNA endonuclease activity, producing 5'-phosphomonoesters [GO:0016891]; lipid catabolic process [GO:0016042]; phosphorus metabolic process [GO:0006793]		3.1.4.4	2.0	Phospholipase D family	PF13091;PF18962;
C3SFS4	C3SFS4_ECOLX	L-ribulose-5-phosphate 3-epimerase UlaE (EC 5.1.3.22) (L-ascorbate utilization protein E) (L-xylulose-5-phosphate 3-epimerase)	intramolecular oxidoreductase activity, interconverting aldoses and ketoses [GO:0016861]; L-ribulose-5-phosphate 3-epimerase activity [GO:0034015]; L-ascorbic acid catabolic process [GO:0019854]	FUNCTION: Catalyzes the isomerization of L-xylulose-5-phosphate to L-ribulose-5-phosphate. Is involved in the anaerobic L-ascorbate utilization. {ECO:0000256|HAMAP-Rule:MF_01951}.	5.1.3.22	2.0	L-ribulose-5-phosphate 3-epimerase family	PF01261;
Q33BJ5	Q33BJ5_ORYSJ	Uncharacterized protein				1.0		
A7I5S3	A7I5S3_METB6	Tetrahydromethanopterin S-methyltransferase, MtrH subunit	methyltransferase activity [GO:0008168]; methylation [GO:0032259]; one-carbon metabolic process [GO:0006730]			1.0		PF02007;
M1Z9Q4	M1Z9Q4_9FIRM	Chemotaxis protein CheW	cytosol [GO:0005829]; chemotaxis [GO:0006935]; signal transduction [GO:0007165]			1.0		PF01584;
Q103D0	Q103D0_SALET	Phase 2 flagellin	bacterial-type flagellum [GO:0009288]; extracellular region [GO:0005576]; structural molecule activity [GO:0005198]			1.0	Bacterial flagellin family	PF00669;
A0LFX1	A0LFX1_SYNFM	Universal stress protein	cytoplasm [GO:0005737]			1.0	Universal stress protein A family	PF00582;
A0LI20	RISB_SYNFM	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)	cytosol [GO:0005829]; riboflavin synthase complex [GO:0009349]; 6,7-dimethyl-8-ribityllumazine synthase activity [GO:0000906]; riboflavin biosynthetic process [GO:0009231]	FUNCTION: Catalyzes the formation of 6,7-dimethyl-8-ribityllumazine by condensation of 5-amino-6-(D-ribitylamino)uracil with 3,4-dihydroxy-2-butanone 4-phosphate. This is the penultimate step in the biosynthesis of riboflavin. {ECO:0000255|HAMAP-Rule:MF_00178}.	2.5.1.78	2.0	DMRL synthase family	PF00885;
E7SCE8	E7SCE8_9STRE	CAAX amino terminal protease family protein	membrane [GO:0016020]; metalloendopeptidase activity [GO:0004222]; CAAX-box protein processing [GO:0071586]			1.0	UPF0177 family	PF02517;
A0A1V4VDB5	A0A1V4VDB5_9EURY	V-type ATP synthase subunit F (V-ATPase subunit F)	ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; proton motive force-driven plasma membrane ATP synthesis [GO:0042777]	FUNCTION: Produces ATP from ADP in the presence of a proton gradient across the membrane. {ECO:0000256|ARBA:ARBA00003543, ECO:0000256|HAMAP-Rule:MF_00312}.		2.0	V-ATPase F subunit family	PF01990;
A0A0E3RN55	A0A0E3RN55_METMZ	Alkyl sulfatase or beta-lactamase (EC 3.1.6.-)	linear primary-alkylsulfatase activity [GO:0018741]; metal ion binding [GO:0046872]; protein dimerization activity [GO:0046983]; dodecyl sulfate metabolic process [GO:0018909]		3.1.6.-	1.0	Metallo-beta-lactamase superfamily, Type III sulfatase family	PF14864;PF14863;PF00753;
A0A5E4IXX4	A0A5E4IXX4_UNCAX	Transcription elongation factor Spt4	translation elongation factor activity [GO:0003746]; zinc ion binding [GO:0008270]; regulation of DNA-templated transcription [GO:0006355]	FUNCTION: Stimulates transcription elongation. {ECO:0000256|HAMAP-Rule:MF_00949}.		2.0	Archaeal Spt4 family	PF06093;
Q0B0L6	Q0B0L6_SYNWW	Copper amine oxidase-like N-terminal domain-containing protein				1.0		PF07833;
F4BXB6	F4BXB6_METSG	FAD-dependent pyridine nucleotide-disulfide oxidoreductase (EC 1.6.99.3)	oxidoreductase activity [GO:0016491]		1.6.99.3	1.0	Class-III pyridine nucleotide-disulfide oxidoreductase family	PF07992;PF02852;
R5KG11	R5KG11_9BACT	Pectate lyase	extracellular region [GO:0005576]; alpha-galactosidase activity [GO:0004557]; pectate lyase activity [GO:0030570]; polysaccharide catabolic process [GO:0000272]			2.0	Polysaccharide lyase 1 family	PF00544;
I0ALK3	I0ALK3_IGNAJ	Aminoacylhistidine dipeptidase	cytosol [GO:0005829]; metallodipeptidase activity [GO:0070573]; proteolysis [GO:0006508]			1.0		PF07687;PF01546;
A0A843K2T4	A0A843K2T4_9EURY	TCP-1/cpn60 chaperonin family protein	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]			1.0	TCP-1 chaperonin family	PF00118;
A0A0B5KSI7	A0A0B5KSI7_9THEM	Stage V sporulation protein S	nucleic acid binding [GO:0003676]			1.0		PF04232;
Q9EV94	GRDE_ACESD	Glycine reductase complex component B subunits alpha and beta (EC 1.21.4.2) (Selenoprotein PB alpha/beta) [Cleaved into: Betaine reductase component B subunit beta; Betaine reductase component B subunit alpha]	glycine reductase activity [GO:0030699]	FUNCTION: In the first step of glycine reductase, the substrate is bound to component PB via a Schiff base intermediate. Then the PB-activated substrate is nucleophilically attacked by the selenol anion of component PA to transform it to a carboxymethylated selenoether and the respective amine. By action of component PC, acetyl phosphate is formed, leaving component PA in its oxidized state. Finally component PA becomes reduced by the thioredoxin system to start a new catalytic cycle of reductive deamination (By similarity). {ECO:0000250}.	1.21.4.2	3.0		PF09338;
A0A843KA65	A0A843KA65_9EURY	Pyridoxamine 5'-phosphate oxidase family protein				1.0		PF01243;
